timestamp,result,duration_s,kills_total,kills_zombie,kills_conehead,kills_buckethead,clicks,suns_collected,sun_spent,gravebusters,potato_mines,ices,mowers_used,danger_near_count,win_rate_to_date
2026-07-05 23:50:50,INTERRUPTED,143.85,107,92,15,0,122,28,450,0,6,4,5,48,0.0
2026-07-06 00:04:04,UNKNOWN,28.83,16,16,0,0,16,1,0,0,0,0,0,0,0.0
2026-07-06 00:09:07,UNKNOWN,105.60,83,75,8,0,91,65,100,1,1,0,5,1,0.0
2026-07-06 00:17:54,INTERRUPTED,29.44,23,21,2,0,25,10,25,0,1,0,5,0,0.0
2026-07-18 14:18:17,INTERRUPTED,57.49,49,48,1,0,50,55,125,0,2,1,5,11,0.0
2026-07-18 14:54:27,INTERRUPTED,53.03,27,24,3,0,30,98,25,0,1,0,5,0,0.0
2026-07-18 15:02:09,INTERRUPTED,52.67,36,35,1,0,37,8,25,0,1,0,5,0,0.0
2026-07-18 15:16:59,UNKNOWN,104.49,80,74,6,0,86,16,150,1,3,0,5,0,0.0
2026-07-18 20:43:03,UNKNOWN,208.19,212,154,48,10,278,16,100,0,4,0,5,33,0.0
2026-07-18 21:23:11,INTERRUPTED,82.12,69,68,1,0,70,6,50,0,2,0,5,2,0.0
2026-07-18 21:30:53,WIN,224.91,255,176,61,18,349,35,875,8,5,2,5,61,0.0
2026-07-18 22:22:24,WIN,253.41,312,197,75,40,460,51,1025,11,5,1,5,21,0.0
2026-07-19 13:20:37,WIN,253.67,326,217,75,34,459,49,525,5,3,1,5,46,23.1
2026-07-19 13:40:43,WIN,257.45,316,195,102,19,454,39,1050,13,3,0,5,39,28.6
2026-07-19 18:43:03,WIN,244.42,299,211,51,37,420,51,925,10,4,1,5,21,33.3
